Dates,GDP,UMCSENT,CPIAUCSL
2012-02-29,0.00173267164891,0.0,0.0
2012-03-16,0.0,0.0,0.00251470201001
2012-03-29,-9.1379040259e-05,0.0,0.0
2012-03-30,0.0,0.0119521912351,0.0
2012-04-13,0.0,0.0,0.00315706047457
2012-04-27,-0.0204937505147,0.00262467191601,0.0
2012-05-15,0.0,0.0,0.0012363801585
2012-05-25,0.0,0.0379581151832,0.0
2012-05-31,-0.000504469078632,0.0,0.0
2012-06-14,0.0,0.0,-0.00331027624888
2012-06-28,0.000892972693154,0.0,0.0
2012-06-29,0.0,-0.0769230769231,0.0
2012-07-17,0.0,0.0,-0.000454700466068
2012-07-27,-0.00061281040179,-0.0122950819672,0.0
2012-08-15,0.0,0.0,0.000949646836407
2012-08-29,0.000654018043204,0.0,0.0
2012-08-31,0.0,0.0276625172891,0.0
2012-09-14,0.0,0.0,0.00712112922639
2012-09-27,-0.00131358891715,0.0,0.0
2012-09-28,0.0,0.0538358008075,0.0
2012-10-16,0.0,0.0,0.00683071996659
2012-10-26,-0.0214738957567,0.0549169859515,0.0
2012-11-15,0.0,0.0,0.00330754544628
2012-11-21,0.0,0.00121065375303,0.0
2012-11-29,0.00137553325684,0.0,0.0
2012-12-14,0.0,0.0,-0.00271956141676
2012-12-20,0.000860901160951,0.0,0.0
2012-12-21,0.0,-0.118500604595,0.0
2013-01-16,0.0,0.0,-0.00129281643736
2013-01-30,-0.0245811226345,0.0,0.0
2013-02-01,0.0,0.0123456790123,0.0
2013-02-19,0.0,0.0,0.000350309292065
2013-02-21,0.0,0.0,-0.000319969559653
2013-02-28,0.00140248910228,0.0,0.0
2013-03-01,0.0,0.0514905149051,0.0
2013-03-15,0.0,0.0,0.00487392128337
2013-03-28,0.000813818512163,0.0,0.0
2013-03-29,0.0,0.0128865979381,0.0
2013-04-16,0.0,0.0,-0.00285401600824
2013-04-26,-0.017616414989,-0.027989821883,0.0
2013-05-16,0.0,0.0,-0.00356415697787
2013-05-30,-0.000356023035315,0.0,0.0
2013-05-31,0.0,0.106020942408,0.0
2013-06-18,0.0,0.0,-0.000107825546891
2013-06-26,-0.00127464150708,0.0,0.0
2013-06-28,0.0,-0.00473372781065,0.0
2013-07-16,0.0,0.0,0.00452359904267
2013-07-26,0.0,0.0118906064209,0.0
